Start Date,02/01/2002,,,,,,,
End Date,,,,,,,,
,NAPMPMI Index,NAPMNMI Index,NAPMPRIC Index,NAPMNEWO Index,NAPMEMPL Index,NAPMNPRC Index,NAPMNNO Index,NAPMNEMP Index
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
Dates,ISM Manufacturing,ISM Services,ISM Manufacturing Prices Paid,ISM Manufacturing New Orders,ISM Manufacturing Employment,ISM Services Prices Paid,ISM Services New Orders,ISM Services Employment
31/01/2002,47.5,48.9,43.9,55.2,41,48.8,48.3,44.3
28/02/2002,50.7,52.7,41.5,60.7,43.8,47.6,56.3,43.9
31/03/2002,52.4,52.8,51.9,63.8,46.6,49.2,56.4,45.8
30/04/2002,52.4,53.5,60.3,59.9,46.6,53.7,58.4,47.8
31/05/2002,53.1,54.8,63,61.8,47.3,55.2,57.3,49.2
30/06/2002,53.6,52.5,65.5,61.2,48.3,53.1,56.4,44
31/07/2002,50.2,50.4,68.3,51.9,45,60.5,50.7,46.1
31/08/2002,50.3,50.9,61.5,50.6,46.8,55.1,51.6,47.2
30/09/2002,50.5,52.3,62.5,52.9,45.8,53.4,54.8,47.1
31/10/2002,49,51.4,58.3,52.1,46.4,56.1,52.3,46.6
30/11/2002,48.5,52.9,55.7,49.9,44.8,57.6,56.4,46
31/12/2002,51.6,52.3,56.9,58.7,47.5,56.5,54.2,47
31/01/2003,51.3,53.3,57.5,58.2,47.4,58,54.4,50.5
28/02/2003,48.8,52.6,65.5,51.9,42.6,60.5,53.9,48.5
31/03/2003,46.3,49.1,70,47.2,42.2,59.4,49.9,48.1
30/04/2003,46.1,50.1,63.5,47.2,41.8,55.7,50.4,48.7
31/05/2003,49,52.8,51.5,53.4,42.4,50,55.9,48.5
30/06/2003,49,54.3,56.5,53.6,45.6,52.3,57.1,49.3
31/07/2003,51,57.3,53,56.8,46.3,51.4,62.3,50.5
31/08/2003,53.2,59.1,53,61.1,47.1,56.1,66.9,51.7
30/09/2003,52.4,57.6,56,60.8,46.5,59.5,61.4,50.1
31/10/2003,55.2,58.7,58.5,64.4,48.6,57.2,64.2,53
30/11/2003,58.4,57.5,64,69.1,50.4,58.5,61.3,54.4
31/12/2003,60.1,56.8,66,71.3,54.1,61.1,61.2,54
31/01/2004,60.8,61.2,75.5,70.6,54.7,62.2,65.4,55.1
29/02/2004,59.9,58,81.5,66.5,55.7,59.5,61.2,52.9
31/03/2004,60.6,58.3,86,64.6,57,65,62.1,53.8
30/04/2004,60.6,59.6,88,67.1,57.2,68.6,61.6,54.7
31/05/2004,61.4,58.5,86,64.5,60.1,71,60.7,54.5
30/06/2004,60.5,58.6,81,60.9,59.4,74.2,62.1,55.6
31/07/2004,59.9,58.5,77,62.8,57.4,71.9,63.2,49.7
31/08/2004,58.5,57.3,81.5,62.1,56.4,70.9,59,53.5
30/09/2004,57.4,57.9,76,57.7,58,67,60.6,55.3
31/10/2004,56.3,58.8,78.5,58.4,55.5,72.8,61.7,56.5
30/11/2004,56.2,58.4,74,60.1,56.9,70.6,61.1,54.8
31/12/2004,57.2,59.6,72,66.3,53.8,71.3,63.2,54.7
31/01/2005,56.8,58,69,57.9,58.6,69.1,62.4,54.6
28/02/2005,55.5,59.4,65.5,55.9,56,69.7,63.3,59.7
31/03/2005,55.2,58,73,57.7,52.5,65.6,60.5,57.2
30/04/2005,52.2,55.6,71,53.4,53,62.4,57.5,53.3
31/05/2005,50.8,55.3,58,51.8,49.3,57.6,58.2,51.8
30/06/2005,52.4,58.1,50.5,55.7,51.1,58.4,59.2,55.8
31/07/2005,52.8,59.5,48.5,57.2,53.2,65.8,64.4,55.1
31/08/2005,52.4,61.3,62.5,57.8,51.8,66.1,65.3,60.2
30/09/2005,56.8,55.7,78,60.9,53.4,83.5,56.2,55.4
31/10/2005,57.2,57.4,84,61.4,54.3,79.2,57.5,54.2
30/11/2005,56.7,59.1,74,61.2,56,72.6,59.6,56.9
31/12/2005,55.1,59,63,60.1,53.7,68.9,62.8,56.4
31/01/2006,55,56.3,65,58.9,53.1,69.9,57.4,54.5
28/02/2006,55.8,57.6,62.5,61,53.5,67.8,57.8,58.1
31/03/2006,54.3,56.9,66.5,57,53.8,60.1,58.6,55.1
30/04/2006,55.2,58.4,71.5,55.7,54.2,68.5,61.1,56.5
31/05/2006,53.7,57,77,54.9,53.2,70.5,58.6,54.6
30/06/2006,52,55.2,76.5,55,49.9,69,57,51.2
31/07/2006,53,55.6,78.5,55.8,50.7,70.6,58.1,53.6
31/08/2006,53.7,53.9,73,55.3,52.6,72.2,53.1,52.2
30/09/2006,52.2,54.5,61,54.8,49.9,60.6,56.5,52.9
31/10/2006,51.4,54.9,47,54.1,49.6,56.5,55.3,52.9
30/11/2006,50.3,54.5,53.5,50.8,49.2,56.7,56.7,52.2
31/12/2006,51.4,53.7,47.5,51.4,49.8,60.5,54.8,52.7
31/01/2007,50.4,55.4,53.6,55.5,52.1,57.5,55.8,54.5
28/02/2007,54.1,54.2,62.5,59.1,54.7,57,56.1,52.2
31/03/2007,52.8,52.1,65.5,56,52.8,64.2,53.7,51.7
30/04/2007,52.7,53.4,73,57.1,52.7,63.2,54.5,51.9
31/05/2007,53.1,54.3,72.6,57,51.1,62.8,56.9,52.5
30/06/2007,54,54.9,67.1,58.4,55.7,61.6,56.8,53.2
31/07/2007,51.8,53.6,67.4,57.5,50.4,59.7,54.4,51.3
31/08/2007,52.2,52.7,62.9,56.1,50.7,60,56.3,48.3
30/09/2007,53.8,52.6,60.4,59.4,53.9,66.7,52.8,52.2
31/10/2007,52.8,53.6,63.9,55.8,53.5,66.2,55.6,53.4
30/11/2007,51.5,52.8,72,53.1,53.2,75.3,51.9,51.8
31/12/2007,50.1,52.5,65.7,49.9,51.1,72,52.5,51.6
31/01/2008,50.9,44.8,76.2,49.5,49.6,71.6,43.5,45.2
29/02/2008,48.8,49.9,75.7,50.5,47.3,71.7,50.5,46.9
31/03/2008,49.7,49.4,83.1,49.2,52.2,72.7,49.4,47
30/04/2008,48.5,51.9,83.9,46.2,45.4,71.9,49.9,50.7
31/05/2008,48.9,51.5,88.1,47.9,45,75.2,53.9,47.6
30/06/2008,49.9,48.1,91.4,49.5,45,79.6,49,43.4
31/07/2008,50.8,50.1,90.4,48.4,54.7,77.4,49.4,46.4
31/08/2008,50.1,50.6,76.5,48.6,50.2,72.4,50.5,45.2
30/09/2008,47.2,49.4,55.1,45.1,45.4,71.9,49.5,44.1
31/10/2008,38.2,44.7,39.8,32,33,53.9,44.2,42.8
30/11/2008,39,37.8,28.4,34.5,36.8,37.4,35.4,32
31/12/2008,34.5,40,17.1,25.9,32.5,36.1,38.7,34.6
31/01/2009,36.4,43,29,32.5,30.5,41.7,40.6,35.8
28/02/2009,36.6,41.6,29.9,32.7,28,48.6,40.6,36.9
31/03/2009,37.2,40.1,31.6,41.3,30.5,40,37.2,31.8
30/04/2009,39.9,43.7,31.4,46,33.5,39.9,46.8,37.2
31/05/2009,44.1,44.4,45,51,35.3,47.1,45.9,38.4
30/06/2009,46.3,46.4,47.9,49,45,52.9,49.4,41.5
31/07/2009,49.7,47.1,52.8,56.6,47.1,41.5,49.8,41.2
31/08/2009,53.4,48.9,62.3,64.1,47.5,60.8,51.5,43.1
30/09/2009,54.9,50.1,63.3,64.7,48.6,49.6,52.7,44.3
31/10/2009,57.6,51,64.3,57.7,53.5,53.5,55.7,42.7
30/11/2009,55.4,49.5,55.4,64.2,51.2,58.9,54.6,43.4
31/12/2009,55.8,49.7,63.8,63.8,52.6,58.9,51.5,44.4
31/01/2010,56.3,50,68,59.9,55.2,59.4,52.9,44.8
28/02/2010,55.5,51.7,65.1,57.7,55.7,58.7,53.4,46.7
31/03/2010,58.8,53.3,75.2,60.1,55.8,60.9,58.1,47.8
30/04/2010,58.1,55.3,78,64,54.8,63.8,58,49.9
31/05/2010,57.4,55.5,77,61.3,57.9,60.8,57.9,49.9
30/06/2010,56.5,54.4,54.9,58.6,56.8,56.7,56.6,48.8
31/07/2010,56.1,54.6,55.6,54.7,58.6,56.1,58.2,50.9
31/08/2010,56.4,52.4,61.8,54,61.2,59.2,54.3,48.7
30/09/2010,55.3,53.3,69.8,51.9,58,59.5,54.2,51
31/10/2010,56.9,55.3,73.8,57.8,57.5,68.2,58.4,51.9
30/11/2010,57.3,56.4,69,58.3,60.2,65.6,58.4,55.6
